Domain,Phylum,Genome Count,Soi mic 454 2065487018 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2065487018 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725001 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725001 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725002 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725002 (MER-FS) (assembled)   &#37; ,Soi mic Con 2067725004 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Con 2067725004 (MER-FS) (assembled)   &#37; ,Soi mic Pre 2070309009 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Pre 2070309009 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090014 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090014 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090015 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090015 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664021 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664021 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664022 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664022 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000033 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000033 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000363 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000363 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000364 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000364 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000787 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000787 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000789 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000789 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000858 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000858 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000890 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000890 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000891 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000891 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000953 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000953 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000955 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000955 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000956 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000956 (MER-FS) (assembled)   &#37; 
Bacteria,Poribacteria,1,48,0.01,63,0.01,49,0.01,145,0.02,123,0.01,40,0.01,31,0.01,154,0.01,248,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Proteobacteria,9977,136063,30.97,102470,23.15,135743,31.27,250910,26.73,275936,25.97,101704,25.61,117464,33.53,474646,31.74,500093,34.04,828230,26.85,13328943,36.38,25142381,38.53,8023044,35.65,719224,17.24,15461417,22.79,37257549,41.96,23424717,40.25,1222089,22.77,77101161,39.37,8292087,26.08
Bacteria,Spirochaetes,285,598,0.14,455,0.1,428,0.1,1376,0.15,1148,0.11,525,0.13,234,0.07,1705,0.11,2245,0.15,6995,0.23,96689,0.26,198973,0.3,67725,0.3,7462,0.18,172219,0.25,185956,0.21,189989,0.33,14378,0.27,590417,0.3,69821,0.22
Bacteria,Synergistetes,25,151,0.03,203,0.05,189,0.04,452,0.05,461,0.04,112,0.03,61,0.02,557,0.04,531,0.04,7923,0.26,58271,0.16,88982,0.14,30132,0.13,2508,0.06,121571,0.18,98961,0.11,104140,0.18,6898,0.13,247585,0.13,35732,0.11
Bacteria,Tenericutes,148,8,0,24,0.01,15,0,49,0.01,43,0,8,0,1,0,39,0,54,0,249,0.01,1649,0,3157,0,2878,0.01,156,0,5487,0.01,5671,0.01,3587,0.01,340,0.01,14228,0.01,1820,0.01
Bacteria,Thermodesulfobacteria,7,149,0.03,117,0.03,101,0.02,303,0.03,283,0.03,125,0.03,67,0.02,445,0.03,624,0.04,622,0.02,24850,0.07,52078,0.08,12942,0.06,1404,0.03,47369,0.07,40187,0.05,54961,0.09,2870,0.05,115500,0.06,12578,0.04
Bacteria,Thermotogae,45,146,0.03,158,0.04,159,0.04,417,0.04,398,0.04,81,0.02,64,0.02,570,0.04,501,0.03,8555,0.28,42143,0.12,61334,0.09,26430,0.12,1933,0.05,96074,0.14,69714,0.08,67982,0.12,5598,0.1,172720,0.09,25518,0.08
Bacteria,Verrucomicrobia,39,40430,9.2,5467,1.24,7865,1.81,25454,2.71,22387,2.11,96281,24.24,8980,2.56,42924,2.87,136765,9.31,64660,2.1,1287973,3.52,7348887,11.26,1053028,4.68,201533,4.83,545286,0.8,3142886,3.54,2122265,3.65,200577,3.74,40505241,20.68,864313,2.72
Bacteria,WS1,1,25,0.01,10,0,13,0,49,0.01,23,0,19,0,4,0,23,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,candidate division NC10,1,745,0.17,417,0.09,451,0.1,1257,0.13,810,0.08,844,0.21,438,0.13,2173,0.15,3481,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,unclassified,2,4,0,4,0,5,0,26,0,22,0,9,0,3,0,27,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Annelida,2,6,0,15,0,13,0,37,0,23,0,12,0,9,0,92,0.01,32,0,0,0,0,0,0,0,6447,0.03,481,0.01,13352,0.02,18724,0.02,9055,0.02,724,0.01,46026,0.02,3899,0.01
Eukaryota,Apicomplexa,20,12,0,15,0,9,0,29,0,26,0,8,0,25,0.01,55,0,29,0,593,0.02,2569,0.01,5835,0.01,2678,0.01,255,0.01,16380,0.02,18884,0.02,8296,0.01,620,0.01,29629,0.02,2877,0.01
Eukaryota,Arthropoda,21,73,0.02,88,0.02,81,0.02,153,0.02,177,0.02,28,0.01,117,0.03,821,0.05,148,0.01,4897,0.16,36864,0.1,38212,0.06,59722,0.27,1734,0.04,58194,0.09,146918,0.17,40073,0.07,3119,0.06,165571,0.08,17919,0.06
Eukaryota,Ascomycota,93,1432,0.33,459,0.1,157,0.04,496,0.05,701,0.07,207,0.05,59,0.02,292,0.02,8303,0.57,9060,0.29,48633,0.13,1308153,2,34639,0.15,117182,2.81,160620,0.24,116301,0.13,81020,0.14,6285,0.12,1974232,1.01,41619,0.13
